user_id,name,email
1,Shirley Chisolm,shirley.chisolm@gmail.com
2,Bayard Rustin,bayard.rustin@gmail.com
3,Claudette Colvin,claudette.colvin@gmail.com
4,Annie Lee Cooper,annie.lee.cooper@gmail.com
5,Dorothy Height,dorothy.height@gmail.com
6,Jesse Owens,jesse.owens@gmail.com
7,Bessie Coleman,bessie.coleman@gmail.com
8,Robert Sengstacke Abbott,robert.sengstacke.abbott@gmail.com
9,Ethel Waters,ethel.waters@gmail.com
10,Gwendolyn Brooks,gwendolyn.brooks@gmail.com
11,Alice Coachman,alice.coachman@gmail.com
12,Gordon Parks,gordon.parks@gmail.com
13,Jane Bolin,jane.bolin@gmail.com
14,Maria P. Williams,maria.p..williams@gmail.com
15,Marsha P. Johnson,marsha.p..johnson@gmail.com
16,Minnie Riperton,minnie.riperton@gmail.com
17,Ruby Bridges,ruby.bridges@gmail.com
18,Mae Jemison,mae.jemison@gmail.com
19,Marian Anderson,marian.anderson@gmail.com
20,Rose Marie McCoy,rose.marie.mccoy@gmail.com
21,Phillis Wheatley,phillis.wheatley@gmail.com
22,Alvin Ailey,alvin.ailey@gmail.com
23,Ella Baker,ella.baker@gmail.com
24,Benjamin O. Davis Sr,benjamin.o..davis.sr@gmail.com
25,Henrietta Lacks,henrietta.lacks@gmail.com
26,Dr. Rebecca Lee Crumpler,dr..rebecca.lee.crumpler@gmail.com
